idade,renda,regiao,estado_civil,tem_filhos,compra_online
jovem,alta,sudeste,solteiro,não,sim
adulto,media,sul,casado,sim,não
jovem,baixa,nordeste,solteiro,não,não
idoso,alta,sudeste,casado,sim,sim
adulto,alta,centro-oeste,casado,não,sim
jovem,media,sul,solteiro,não,sim
idoso,media,nordeste,viuvo,sim,não
adulto,baixa,norte,casado,sim,não
jovem,alta,sudeste,solteiro,não,sim
adulto,media,sul,casado,sim,sim
idoso,baixa,nordeste,viuvo,sim,não
jovem,media,centro-oeste,solteiro,não,sim
adulto,alta,sudeste,casado,não,sim
jovem,baixa,norte,solteiro,não,não
idoso,alta,sul,casado,sim,sim
adulto,media,nordeste,casado,sim,não
jovem,alta,sudeste,solteiro,não,sim
idoso,media,centro-oeste,viuvo,sim,não
adulto,baixa,norte,casado,sim,não
jovem,media,sul,solteiro,não,sim