mes,vendas,regiao,categoria
Janeiro,15000,Norte,Eletrônicos
Fevereiro,18000,Norte,Eletrônicos
Março,22000,Norte,Eletrônicos
Abril,20000,Norte,Eletrônicos
Maio,25000,Norte,Eletrônicos
Junho,28000,Norte,Eletrônicos
Janeiro,12000,Sul,Roupas
Fevereiro,14000,Sul,Roupas
Março,16000,Sul,Roupas
Abril,18000,Sul,Roupas
Maio,21000,Sul,Roupas
Junho,24000,Sul,Roupas
Janeiro,8000,Nordeste,Livros
Fevereiro,9000,Nordeste,Livros
Março,10000,Nordeste,Livros
Abril,11000,Nordeste,Livros
Maio,12000,Nordeste,Livros
Junho,13500,Nordeste,Livros
Janeiro,20000,Sudeste,Eletrônicos
Fevereiro,23000,Sudeste,Eletrônicos
Março,26000,Sudeste,Eletrônicos
Abril,24000,Sudeste,Eletrônicos
Maio,28000,Sudeste,Eletrônicos
Junho,32000,Sudeste,Eletrônicos